Haystack Point Type,Val Tags,New Tags,GDB Field,Enumerations
,,,compressor_speed_percentage_command,[]
,,,east_wind_linearvelocity_sensor,[]
,,,west_wind_linearvelocity_sensor,[]
,,,condenser_pressure_sensor,[]
,,,chilled_water_valve_command,"[OPEN,CLOSED]"
,,,heating_percentage_command,[]
,,,thermal_power_sensor,[]
,,,discharge_air_flowrate_sensor,[]
,,,exercise_mode,"[ON,OFF]"
,,,fabric_protection_alarm_status,"[ON,OFF]"
,,,filter_alarm_status,"[ON,OFF]"
,,,master_alarm_status,"[ON,OFF]"
,,,run_mode,"[AUTO,COMMISSIONING,FLUSHING,HEATING,COOLING,NEUTRAL]"
,,,dial_resistance_sensor,[]
,,,zone_occupancy_status,"[OCCUPIED,UNKNOWN,UNOCCUPIED]"
,,,leaving_cooling_coil_temperature_sensor,[]
,,,heating_water_valve_command,"[OPEN,CLOSED]"
,,,heating_water_valve_percentage_sensor,[]
,,,chilled_water_valve_percentage_sensor,[]
,,,exhaust_air_damper_command,"[OPEN,CLOSED]"
,,,heating_stage_run_command,[]
,,,return_air_cooling_temperature_setpoint,[]
,,,return_air_heating_temperature_setpoint,[]
,,,condensing_fan_speed_percentage_command,[]
,,,boost_fan_run_command,"[ON,OFF]"
,,,boost_fan_run_status,"[ON,OFF]"
,,,chilled_water_flowrate_sensor,[]
,,,compressor_speed_frequency_sensor,[]
,,,condensing_water_isolation_valve_status,"[OPEN,CLOSED]"
,,,east_building_air_static_pressure_sensor,[]
,,,east_exhaust_air_damper_percentage_command,[]
,,,exhaust_air_flowrate_sensor,[]
,,,exhaust_air_flowrate_setpoint,[]
,,,fan_speed_mode,"[OFF,LOW,HIGH]"
,,,heat_exchange_isolation_valve_command,"[OPEN,CLOSED]"
,,,heat_exchange_isolation_valve_percentage_command,[]
,,,humidifier_percentage_command,[]
,,,mixing_valve_percentage_command,[]
,,,preheating_water_valve_percentage_command,[]
,,,return_air_damper_command,"[OPEN,CLOSED]"
,,,return_air_damper_status,"[OPEN,CLOSED]"
,,,return_air_flowrate_sensor,[]
,,,return_air_flowrate_setpoint,[]
,,,return_air_static_pressure_sensor,[]
,,,return_air_static_pressure_setpoint,[]
,,,supply_air_dehumidification_relative_humidity_setpoint,[]
,,,supply_air_humidification_relative_humidity_setpoint,[]
,,,supply_air_isolation_damper_command,"[OPEN,CLOSED]"
,,,west_building_air_static_pressure_sensor,[]
,,,west_exhaust_air_damper_percentage_command,[]
,,,zone_air_static_pressure_sensor,[]
,,,zone_air_static_pressure_setpoint,[]
,,,zone_air_voc_concentration_sensor,[]
,,,zone_air_voc_concentration_setpoint,[]
,,,cooling_percentage_command,[]
,,,primary_supply_water_temperature_sensor,[]
,,,supply_air_isolation_damper_status,"[OPEN,CLOSED]"
,,,cooling_thermal_power_sensor,[]
,,,cooling_percentage_sensor,[]
,,,exhaust_air_damper_status,"[OPEN,CLOSED]"
,,,east_flowrate_sensor,[]
,,,west_flowrate_sensor,[]
,,,east_differential_pressure_sensor,[]
,,,west_differential_pressure_sensor,[]
,,,east_supply_water_temperature_sensor,[]
,,,west_supply_water_temperature_sensor,[]
,,,process_chilled_return_water_temperature_sensor,[]
,,,process_chilled_supply_water_temperature_sensor,[]
,,,leaving_air_preheating_coil_temperature_sensor,[]
,,,cooling_stage_run_count,[]
,,,min_return_water_temperature_setpoint,[]
,,,process_cooling_thermal_power_sensor,[]
,,,process_return_water_temperature_sensor,[]
,,,process_supply_water_temperature_sensor,[]
,,,process_supply_water_temperature_setpoint,[]
,,,process_water_differential_pressure_sensor,[]
,,,process_water_differential_pressure_setpoint,[]
,,,process_water_flowrate_sensor,[]
,,,process_water_flowrate_setpoint,[]
,,,process_water_isolation_valve_command,"[OPEN,CLOSED]"
,,,process_water_valve_percentage_command,[]
,,,zone_air_refrigerant_concentration_setpoint,[]
,,,apparent_power_sensor,[]
,,,energy_accumulator,[]
,,,average_line_current_sensor,[]
,,,average_line_neutral_voltage_sensor,[]
,,,average_line_voltage_sensor,[]
,,,phase1_line_current_sensor,[]
,,,phase1_neutral_line_voltage_sensor,[]
,,,phase1_phase2_line_voltage_sensor,[]
,,,phase1_phase3_line_voltage_sensor,[]
,,,phase1_power_sensor,[]
,,,phase1_powerfactor_sensor,[]
,,,phase2_line_current_sensor,[]
,,,phase2_neutral_line_voltage_sensor,[]
,,,phase2_phase3_line_voltage_sensor,[]
,,,phase2_power_sensor,[]
,,,phase2_powerfactor_sensor,[]
,,,phase3_line_current_sensor,[]
,,,phase3_neutral_line_voltage_sensor,[]
,,,phase3_power_sensor,[]
,,,phase3_powerfactor_sensor,[]
,,,powerfactor_sensor,[]
,,,reactive_power_sensor,[]
,,,dimmer_percentage_command,[]
,,,calendar_sync_status,"[ACCESS_FAILED,CALENDAR_STARTUP,CALENDAR_SUCCESS,SUBSCRIPTION_FAILED,WAITING_FOR_RESPONSE]"
,,,conference_id_hash_label,[]
,,,conference_id_match_status,"[DOES_NOT_MATCH,MATCHES]"
,,,conference_call_status,"[ACTIVE,INACTIVE]"
,,,matched_event_id_label,[]
,,,message_counter,[]
,,,next_event_end_timestamp,[]
,,,next_event_start_timestamp,[]
,,,ongoing_event_end_timestamp,[]
,,,ongoing_event_start_timestamp,[]
,,,ongoing_event_id_label,[]
,,,room_calendar_email_label,[]
,,,user_occupancy_override_status,"[DISABLED,ENABLED]"
,,,condensing_water_valve_percentage_command,[]
,,,heater_run_status,"[ON,OFF]"
,,,discharge_fan_power_sensor,[]
,,,outside_air_damper_status,[]
,,,humidification_percentage_command,[]
,,,discharge_fan_speed_percentage_sensor,[]
,,,supply_air_damper_command,"[OPEN,CLOSED]"
,,,supply_air_damper_status,"[OPEN,CLOSED]"
,,,low_limit_flowrate_setpoint,[]
,,,return_water_valve_percentage_sensor,[]
,,,return_water_valve_percentage_command,[]
,,,gas_flowrate_sensor,[]
,,,gas_volume_accumulator,[]
,,,water_volume_accumulator,[]
,,,gas_temperature_sensor,[]
,,,cooling_water_valve_percentage_command,[]
,,,cooling_water_valve_percentage_sensor,[]
,,,cooling_water_flowrate_sensor,[]
,,,heating_water_flowrate_sensor,[]
,,,zone_air_offset_temperature_setpoint,[]
,,,discharge_air_damper_percentage_command,[]
,,,supply_water_isolation_valve_command,[]
,,,supply_water_isolation_valve_status,[]
,,,return_water_isolation_valve_command,[]
,,,return_water_isolation_valve_status,[]
,,,chilled_return_water_isolation_valve_command,[]
,,,condensing_return_water_isolation_valve_percentage_command,[]
,,,condensing_return_water_isolation_valve_percentage_sensor,[]
,,,chilled_supply_water_isolation_valve_command,[]
,,,chilled_return_water_isolation_valve_status,[]
,,,discharge_air_static_pressure_sensor,[]
,,,heat_exchange_supply_water_isolation_valve_command,[]
,,,heat_exchange_return_water_isolation_valve_command,[]
,,,heat_exchange_supply_water_isolation_valve_percentage_command,[]
,,,heat_exchange_return_water_isolation_valve_percentage_command,[]
,,,heat_exchange_supply_water_isolation_valve_status,[]
,,,heat_exchange_return_water_isolation_valve_status,[]
,,,heat_exchange_supply_water_isolation_valve_percentage_sensor,[]
,,,heat_exchange_return_water_isolation_valve_percentage_sensor,[]
,,,condensing_return_water_isolation_valve_command,[]
,,,chilled_return_water_isolation_valve_percentage_sensor,[]
,,,chilled_return_water_isolation_valve_percentage_command,[]
,,,chilled_supply_water_isolation_valve_percentage_sensor,[]
,,,chilled_supply_water_isolation_valve_percentage_command,[]
,,,chilled_supply_water_isolation_valve_status,[]
,,,condensing_return_water_isolation_valve_status,[]
,,,condensing_supply_water_isolation_valve_percentage_sensor,[]
,,,condensing_supply_water_isolation_valve_percentage_command,[]
,,,condensing_supply_water_isolation_valve_status,[]
,,,condensing_supply_water_isolation_valve_command,[]
,,,supply_air_damper_percentage_sensor,[]
